,submitter_title,date,submitter_name,reviewer_name,reviewer_orcid,sim,count
111,Track Join: Distributed Joins with Minimal Network Traffic,20200119,Orestis Polychroniou,Daniel Schall,800,0.15974069235137256,0
112,Track Join: Distributed Joins with Minimal Network Traffic,20200119,Orestis Polychroniou,Sutanay Choudhury,1242,0.15555555555555556,0
113,Track Join: Distributed Joins with Minimal Network Traffic,20200119,Orestis Polychroniou,Parth Nagarkar,1136,0.11554054054054053,0
114,ParaTimer: A Progress Indicator for MapReduce DAGs,20200120,Kristi Morton,Khaled Elmeleegy,996,0.19642857142857145,0
115,ParaTimer: A Progress Indicator for MapReduce DAGs,20200120,Kristi Morton,Peter Macko,1145,0.15555555555555556,0
116,ParaTimer: A Progress Indicator for MapReduce DAGs,20200120,Kristi Morton,Christophe Claramunt,783,0.15555555555555556,0
117,ParaTimer: A Progress Indicator for MapReduce DAGs,20200120,Kristi Morton,Shiwen Cheng,1211,0.15555555555555556,0
118,ParaTimer: A Progress Indicator for MapReduce DAGs,20200120,Kristi Morton,Chen Luo,770,0.15555555555555556,0
119,ParaTimer: A Progress Indicator for MapReduce DAGs,20200120,Kristi Morton,Yanhua Li,1325,0.15974069235137256,0
120,PABIRS: A Data Access Middleware for Distributed File Systems,20200121,Sai Wu,Daniel Schall,800,0.15974069235137256,0
121,PABIRS: A Data Access Middleware for Distributed File Systems,20200121,Sai Wu,Carsten Binnig,761,0.15555555555555556,0
122,PABIRS: A Data Access Middleware for Distributed File Systems,20200121,Sai Wu,Pericles de Oliveira,1142,0.11861504307305325,0
123,PABIRS: A Data Access Middleware for Distributed File Systems,20200121,Sai Wu,Lisi Chen,1025,0.15555555555555556,0
124,PABIRS: A Data Access Middleware for Distributed File Systems,20200121,Sai Wu,Mohammadreza Najafi,1093,0.15555555555555556,0
125,PABIRS: A Data Access Middleware for Distributed File Systems,20200121,Sai Wu,Souripriya Das,1220,0.11554054054054053,0
126,Adaptive Fault-Tolerance for Dynamic Resource Provisioning in Distributed Stream Processing Systems,20200122,Paolo Bellavista,Mingzhu Wei,1082,0.15555555555555556,0
127,Adaptive Fault-Tolerance for Dynamic Resource Provisioning in Distributed Stream Processing Systems,20200122,Paolo Bellavista,Christina Pavlopoulou,779,0.11554054054054053,0
128,Adaptive Fault-Tolerance for Dynamic Resource Provisioning in Distributed Stream Processing Systems,20200122,Paolo Bellavista,Robert Brunel,1186,0.11861504307305325,0
129,Adaptive Fault-Tolerance for Dynamic Resource Provisioning in Distributed Stream Processing Systems,20200122,Paolo Bellavista,Jennie Duggan,938,0.11554054054054053,0
