,result
112,"('Efficient Exact Edit Similarity Query Processing with the Asymmetric Signature Scheme', 20200207, 'Jianbin Qin', 'Alekh Jindal', 699, 0.19642857142857145, 1)"
113,"('Efficient Exact Edit Similarity Query Processing with the Asymmetric Signature Scheme', 20200207, 'Jianbin Qin', 'Kasper Mullesgaard', 985, 0.19642857142857145, 1)"
114,"('Querying K-Truss Community in Large and Dynamic Graphs', 20200208, 'Xin Huang', 'Sutanay Choudhury', 1242, 0.20177670577535006, 1)"
115,"('Querying K-Truss Community in Large and Dynamic Graphs', 20200208, 'Xin Huang', 'Amit Goyal', 709, 0.15974069235137256, 1)"
116,"('Querying K-Truss Community in Large and Dynamic Graphs', 20200208, 'Xin Huang', 'Saad Aljubayrin', 1195, 0.15974069235137256, 1)"
117,"('TI: An Efficient Indexing Mechanism for Real-Time Search on Tweets', 20200209, 'Chun Chen', 'Yuchen Li', 1356, 0.20177670577535006, 1)"
118,"('TI: An Efficient Indexing Mechanism for Real-Time Search on Tweets', 20200209, 'Chun Chen', 'Tanmoy Chakraborty', 1246, 0.19642857142857145, 1)"
119,"('TI: An Efficient Indexing Mechanism for Real-Time Search on Tweets', 20200209, 'Chun Chen', 'Arjun Dasgupta', 733, 0.15555555555555556, 2)"
120,"('KSQL: Streaming SQL Engine for Apache Kafka', 20200210, 'Hojjat Jafarpour', 'Christophe Claramunt', 783, 0.15555555555555556, 1)"
121,"('KSQL: Streaming SQL Engine for Apache Kafka', 20200210, 'Hojjat Jafarpour', 'Vasilis Samoladas', 1273, 0.15555555555555556, 1)"
122,"('KSQL: Streaming SQL Engine for Apache Kafka', 20200210, 'Hojjat Jafarpour', 'Aravind Yalamanchi', 729, 0.11554054054054053, 2)"
123,"('Storing and Analyzing Historical Graph Data at Scale', 20200211, 'Udayan Khurana', 'Sutanay Choudhury', 1242, 0.19642857142857145, 2)"
124,"('Storing and Analyzing Historical Graph Data at Scale', 20200211, 'Udayan Khurana', 'Peter Macko', 1145, 0.15555555555555556, 1)"
125,"('Storing and Analyzing Historical Graph Data at Scale', 20200211, 'Udayan Khurana', 'Foteini Katsarou', 866, 0.15555555555555556, 1)"
126,"('Sequenced Route Query with Semantic Hierarchy', 20200212, 'Yuya Sasaki', 'Paras Mehta ', 1135, 0.15974069235137256, 2)"
127,"('Sequenced Route Query with Semantic Hierarchy', 20200212, 'Yuya Sasaki', 'Cristian Consonni', 789, 0.11861504307305325, 3)"
128,"('Sequenced Route Query with Semantic Hierarchy', 20200212, 'Yuya Sasaki', 'Zhepeng Yan', 1380, 0.11554054054054053, 1)"
129,"('Modeling and Exploiting Goal and Action Associations for Recommendations', 20200213, 'Dimitra Papadimitriou', 'Marina Barsky', 1054, 0.15555555555555556, 1)"
