,result
93,"('Entity Resolution with Iterative Blocking', 20200203, 'Steven Euijong Whang', 'Dimitrios Karapiperis', 814, 0.10114517598445556, 1)"
94,"('Asynchronous View Maintenance for VLSD Databases', 20200204, 'Parag Agrawal', 'Puya Memarzia', 1159, 0.11604964832828285, 2)"
95,"('Asynchronous View Maintenance for VLSD Databases', 20200204, 'Parag Agrawal', 'David Luaces', 806, 0.09624309746592356, 3)"
96,"('Asynchronous View Maintenance for VLSD Databases', 20200204, 'Parag Agrawal', 'Dimitrios Skoutas', 815, 0.07470015648930664, 2)"
97,"('Context-sensitive Ranking for Document Retrieval', 20200205, 'Liang Jeff Chen', 'Xiang Wang', 1306, 0.14344546201529426, 3)"
98,"('Context-sensitive Ranking for Document Retrieval', 20200205, 'Liang Jeff Chen', 'Haopeng Zhang', 898, 0.1249142290987667, 2)"
99,"('Context-sensitive Ranking for Document Retrieval', 20200205, 'Liang Jeff Chen', 'Stephan M?ller', 1231, 0.09476995925548476, 3)"
100,"('Improving Company Recognition from Unstructured Text by using Dictionaries', 20200206, 'Michael Loster', 'James Wagner', 250, 0.09835774435131388, 3)"
101,"('Improving Company Recognition from Unstructured Text by using Dictionaries', 20200206, 'Michael Loster', 'Yucheng Low', 1357, 0.09622707518398846, 1)"
102,"('Efficient Exact Edit Similarity Query Processing with the Asymmetric Signature Scheme', 20200207, 'Jianbin Qin', 'Jiannan Wang', 951, 0.16703025125088633, 3)"
103,"('Efficient Exact Edit Similarity Query Processing with the Asymmetric Signature Scheme', 20200207, 'Jianbin Qin', 'James Cheng', 929, 0.1524891160674164, 1)"
104,"('Efficient Exact Edit Similarity Query Processing with the Asymmetric Signature Scheme', 20200207, 'Jianbin Qin', 'Yang Wang', 1323, 0.14764488858390953, 2)"
105,"('Querying K-Truss Community in Large and Dynamic Graphs', 20200208, 'Xin Huang', 'Feng Zhao', 861, 0.1922046086460704, 3)"
106,"('Querying K-Truss Community in Large and Dynamic Graphs', 20200208, 'Xin Huang', 'Lu Chen', 1029, 0.17092319537710166, 3)"
107,"('Querying K-Truss Community in Large and Dynamic Graphs', 20200208, 'Xin Huang', 'Arlei Silva', 735, 0.16889926918035802, 3)"
108,"('TI: An Efficient Indexing Mechanism for Real-Time Search on Tweets', 20200209, 'Chun Chen', 'Manoj K Agarwal', 1046, 0.14358974358974358, 2)"
109,"('TI: An Efficient Indexing Mechanism for Real-Time Search on Tweets', 20200209, 'Chun Chen', 'Jinling Jiang', 961, 0.1412384971859636, 1)"
110,"('TI: An Efficient Indexing Mechanism for Real-Time Search on Tweets', 20200209, 'Chun Chen', 'Marios Meimaris', 1056, 0.10692305767690767, 2)"
111,"('KSQL: Streaming SQL Engine for Apache Kafka', 20200210, 'Hojjat Jafarpour', 'Sutanay Choudhury', 1242, 0.12693907690254358, 2)"
112,"('KSQL: Streaming SQL Engine for Apache Kafka', 20200210, 'Hojjat Jafarpour', 'Michael J. Franklin', 1075, 0.10795454545454547, 3)"
113,"('Storing and Analyzing Historical Graph Data at Scale', 20200211, 'Udayan Khurana', 'Shi Gao', 1207, 0.2179144385026738, 2)"
114,"('Storing and Analyzing Historical Graph Data at Scale', 20200211, 'Udayan Khurana', 'Akon Dey', 694, 0.19116430257283398, 3)"
115,"('Storing and Analyzing Historical Graph Data at Scale', 20200211, 'Udayan Khurana', 'Wenqing Lin', 1299, 0.1497326203208556, 1)"
116,"('Sequenced Route Query with Semantic Hierarchy', 20200212, 'Yuya Sasaki', 'Bin Cao', 750, 0.12907874645525455, 3)"
117,"('Sequenced Route Query with Semantic Hierarchy', 20200212, 'Yuya Sasaki', 'Michael T. Goodrich', 1078, 0.10939676804221024, 2)"
118,"('Sequenced Route Query with Semantic Hierarchy', 20200212, 'Yuya Sasaki', 'Nguyen Thanh Tam', 1107, 0.10939676804221024, 1)"
119,"('Modeling and Exploiting Goal and Action Associations for Recommendations', 20200213, 'Dimitra Papadimitriou', 'Guanfeng Liu', 887, 0.13357843137254904, 1)"
120,"('Modeling and Exploiting Goal and Action Associations for Recommendations', 20200213, 'Dimitra Papadimitriou', 'Aditya Parameswaran', 689, 0.12878787878787884, 1)"
121,"('Modeling and Exploiting Goal and Action Associations for Recommendations', 20200213, 'Dimitra Papadimitriou', 'Haopeng Zhang', 898, 0.12553877175523953, 3)"
122,"('Discovering Correlations in Annotated Databases', 20200214, 'Xuebin He', 'David C. Anastasiu', 804, 0.10607940446650126, 3)"
123,"('Discovering Correlations in Annotated Databases', 20200214, 'Xuebin He', 'Nilesh Dalvi', 1116, 0.09258956150821482, 2)"
