reviewer_orcid,reviewer_name,reviewer_coauthor1_name,reviewer_coauthor1_id,reviewer_coauthor2_name,reviewer_coauthor2_id,reviewer_coauthor3_name,reviewer_coauthor3_id,reviewer_coauthor4_name,reviewer_coauthor4_id,reviewer_coauthor5_name,reviewer_coauthor5_id,reviewer_coauthor6_name,reviewer_coauthor6_id,reviewer_coauthor7_name,reviewer_coauthor7_id,reviewer_coauthor8_name,reviewer_coauthor8_id,reviewer_coauthor9_name,reviewer_coauthor9_id,reviewer_coauthor10_name,reviewer_coauthor10_id,reviewer_coauthor_title_doi,reviewer_coauthor_title
776,Chih-Ya Shen,Hong-Han Shuai,909, Kuo-Feng Hsu,333, Ming-Syan Chen ,396,,,,,,,,,,,,,,,,Task-Optimized Group Search for Social Internet of Things
1175,Raman Grover,Michael J. Carey ,1074,,,,,,,,,,,,,,,,,,,,Data Ingestion in AsterixDB
722,Anjan Kumar Amirishetty,Yunrui Li,1364, Tolga Yurek,567, Mahesh Girkar,354, Wilson Chan,615, Graham Ivey,206, Vsevolod Panteleenko,591, Ken Wong ,315,,,,,,,,Buddy Instance - A Mechanism for Increasing Availability  in Shared-Disk Clusters
1122,Olga Poppe,Chuan Lei,785, Elke A. Rundensteiner,165, Dan Dougherty ,121,,,,,,,,,,,,,,,,Context-aware Event Stream Analytics
826,Dritan Bleco,Yannis Kotidis ,1328,,,,,,,,,,,,,,,,,,,,Graph Analytics on Massive Collections of Small Graphs
1045,Manish Kesarwani,Akshar Kaul,695, Prasad Naldurg,453, Sikhar Patranabis,517, Gagandeep Singh,184, Sameep Mehta,496, Debdeep Mukhopadhyay ,136,,,,,,,,,,Efficient Secure k-Nearest Neighbours over Encrypted Data
1278,Victor Zakhary,Faisal Nawab,851, Divyakant Agrawal,150, Amr El Abbadi ,38,,,,,,,,,,,,,,,,Global-Scale Placement of Transactional Data Stores
1324,Yang Wu,Cheng Long,773, Ada Wai-Chee Fu,14, Zitong Chen ,680,,,,,,,,,,,,,,,,Counting Edges with Target Labels in Online Social Networks via RandomWalk
1231,Stephan Mller,Anisoara Nica,721, Lars Butzmann,335, Stefan Klauck,535, Hasso Plattner ,223,,,,,,,,,,,,,,Using Object-Awareness to Optimize Join Processing in the SAP HANA Aggregate Cache
907,Hoang Vu Nguyen,Klemens B?hm,998, Florian Becker,176, Bertrand Goldman,69, Georg Hinkel,192, Emmanuel M?ller ,166,,,,,,,,,,,,Identifying User Interests within the Data Space - a Case Study with SkyServer
815,Dimitrios Skoutas,Dimitris Sacharidis ,818, Kostas Stamatoukos ,329,,,,,,,,,,,,,,,,,,Identifying and Describing Streets of Interest
1081,Mingjie Tang,Yongyang Yu,1346, Walid G. Aref,593, Qutaibah M. Malluhi,459, Mourad Ouzzani ,404,,,,,,,,,,,,,,Efficient Processing of Hamming-Distance-Based Similarity-Search Queries Over MapReduce
1318,Xingcan Cui,Xiaohui Yu,1309, Xiaofang Zhou,625, Jiong Guo ,288,,,,,,,,,,,,,,,,ID Repair for Trajectories with Transition Graphs
985,Kasper Mullesgaard,Jens Laurits Pedersen,943, Hua Lu,232, Yongluan Zhou ,660,,,,,,,,,,,,,,,,Efficient Skyline Computation in MapReduce
874,George A. Vouros,Elias Alevizos,833, Alexander Artikis,25, Georg Fuchs,191, Cyril Ray,118, Elena Camossi,161, David Scarlatti,133, Jose Manuel Cordero ,299,,,,,,,,Big Data Analytics for Time Critical Maritime and Aerial Mobility Forecasting
1258,Thorsten Papenbrock,Felix Naumann ,860,,,,,,,,,,,,,,,,,,,,Data-driven Schema Normalization
1096,Moritz Kaufmann,Manuel Then,1050, Alfons Kemper,31, Thomas Neumann ,559,,,,,,,,,,,,,,,,Parallel Array-Based Single- and Multi-Source Breadth First Searches on Large Dense Graphs
1298,Wenlu Wang,Ji Zhang,945, Min-Te Sun,393, Wei-Shinn Ku ,606,,,,,,,,,,,,,,,,Efficient Parallel Spatial Skyline Evaluation Using MapReduce
960,Jing Wang,Nikos Ntarmos,1114, Peter Triantafillou ,445,,,,,,,,,,,,,,,,,,Indexing Query Graphs to Speedup Graph Query Processing
830,Efi Karra Taniskidou,George Papadakis,876, George Giannakopoulos,195, Manolis Koubarakis ,363,,,,,,,,,,,,,,,,Comparative Analysis of Content-based Personalized Microblog Recommendations [Experiments and Analysis]
1056,Marios Meimaris,George Papastefanatos ,877, Panos Vassiliadis,435, Ioannis Anagnostopoulos ,241,,,,,,,,,,,,,,,,Efficient Computation of Containment and Complementarity in RDF Data Cubes
1159,Puya Memarzia,Suprio Ray,1241, Virendra C. Bhavsar ,587,,,,,,,,,,,,,,,,,,A Six-dimensional Analysis of In-memory Aggregation
903,Henrietta Dombrovskaya,Richard Lee ,1184,,,,,,,,,,,,,,,,,,,,Talking To The Database In A Semantically Rich Way
816,Dimitris Bilidas,Manolis Koubarakis ,1047,,,,,,,,,,,,,,,,,,,,Scalable Parallelization of RDF Joins on Multicore Architectures
836,Emre Sefer,Carl Kingsford ,759,,,,,,,,,,,,,,,,,,,,Convex Risk Minimization to Infer Networks from Probabilistic Diffusion Data at Multiple Scales
956,Jiefeng Cheng,Qin Liu,1161, Zhenguo Li,673, Wei Fan,599, John C.S. Lui,293, Cheng He ,102,,,,,,,,,,,,VENUS: Vertex-Centric Streamlined Graph Computation on a Single PC
804,David C. Anastasiu,Al M. Rashid,696, Andrea Tagarelli,43, George Karypis ,196,,,,,,,,,,,,,,,,Understanding Computer Usage Evolution 
993,Kenneth Fuglsang Christensen,Lasse Linnerup Christiansen,1012, Torben Bach Pedersen,569, Jeppe Pihl ,264,,,,,,,,,,,,,,,,Searchlight: Context-Aware Predictive Continuous Querying of Moving Objects in Symbolic Space
766,Charu C. Aggarwal,Philip S. Yu ,1148,,,,,,,,,,,,,,,,,,,,On Historical Diagnosis of Sensor Streams
958,Jieying She,Yongxin Tong,1345, Lei Chen,336, Caleb Chen Cao ,89,,,,,,,,,,,,,,,,Conflict-Aware Event-Participant Arrangement
1274,Vasilis Verroios,Hector Garcia-Molina ,901,,,,,,,,,,,,,,,,,,,,Entity Resolution with Crowd Errors
1356,Yuchen Li,Zhifeng Bao,1382, Guoliang Li,212, Kian-Lee Tan ,327,,,,,,,,,,,,,,,,Real Time Personalized Search on Social Networks
1145,Peter Macko,Virendra J. Marathe,1283, Daniel W. Margo,126, Margo I. Seltzer ,367,,,,,,,,,,,,,,,,LLAMA: Efficient Graph Analytics Using Large Multiversioned Arrays
